tpl_idx,name,z_catalog,M_peak_r,t_peak_r,decline_rate_r,width_r,duration_r,M_peak_u,M_peak_g,M_peak_i,M_peak_z,g_minus_r,r_minus_i,M_peak_y
0,1991D,0.04179,,,,,,,,,,,,
1,1999as,0.127,,,,,,,,,,,,
2,2002gh,0.3653,,,,,,,,,,,,
3,2005ap,0.2832,,,,,,,,,,,,
4,2006oz,0.376,-21.753213407592284,0.19910799617951686,0.03894084034887732,20.80678560050834,116.07996177126235,-21.265420356173763,-21.784625839072373,-21.47378943919237,-21.393226314245492,-0.03141243148008854,-0.27942396839991446,
5,2007bi,0.1279,,,,,,,,,,,,
6,2009cb,0.1867,-19.938978443609926,2.7704316447963273,0.06081248052986165,21.58627989901634,64.12394911178689,,-20.22740272196018,-20.106191581487604,,-0.2884242783502522,0.16721313787767755,
7,2009jh,0.3499,-22.34723547217953,0.20295770260242624,0.020180043120772564,34.60428829329595,118.32434061579153,,-21.11746412389352,,,1.229771348286011,,
8,2010gx,0.2297,-21.936858130638104,0.22279629400912024,0.03689661601839833,23.894902532186737,88.22733242655251,-21.917347840065876,-22.027253822903294,-21.755001791093434,-21.57556743154703,-0.09039569226519006,-0.1818563395446695,
9,2010hy,0.1901,-22.200732998952954,0.2302097325796279,0.05037609931020102,19.625379702173316,134.21227409230906,,,-21.542311987838406,,,-0.6584210111145481,
10,2010kd,0.101,,,,,,,,,,,,
11,2010md,0.0987,-20.47095963060469,0.2493607015045191,0.03547217099990125,24.68670944864939,145.37728897538636,-19.174122028501248,-20.38039300146892,-20.358207170738897,-19.912522394630685,0.0905666291357683,-0.11275245986579208,
12,2011ep,0.28,,,,,,,,,,,,
13,2011ke,0.1428,-21.443812911987617,0.23973801430085329,0.03445561551113667,25.71190203345295,108.12184444838601,-20.879026835522232,-21.425737890450844,-21.238191249362124,-21.067019513418032,0.01807502153677376,-0.20562166262549297,
14,2011kf,0.245,-21.190432484450735,0.22005831545623705,0.008452832610506032,47.202508664793044,128.29399790944333,,-21.83499674221731,-21.265092347925933,-21.31136933950015,-0.6445642577665751,0.0746598634751976,
15,2011kg,0.1924,-21.070360643506802,0.22976568495724184,0.04322666477716496,22.114947176864515,133.9533943284611,-19.510255898446335,-20.83381478444077,-21.041189112047306,-20.936650673694054,0.23654585906603387,-0.02917153145949669,
16,2011kl,0.677,-19.768540562803256,0.16337066353191124,0.05004402321139331,19.318580962413133,69.18747600493356,,-19.69430515160314,-19.910412742145514,-20.109557664228657,0.07423541120011734,0.1418721793422577,
17,2012aa,0.083,,,,,,,,,,,,
18,2012il,0.175,-21.655329152859217,0.8743806470413394,0.04672778903171829,20.518799183910037,135.9370445934102,,-21.453655654198574,-20.986512017695702,-20.7323494582036,0.201673498660643,-0.6688171351635148,
19,2013dg,0.265,-21.52699638986418,0.812171747251837,0.03700335904557054,24.41929720071022,72.66229898748774,,-21.67194316718254,-21.343001170533547,-21.20131970320207,-0.14494677731835992,-0.18399521933063312,
20,2013hy,0.663,-20.70964177725866,0.16474600285208368,0.03263673977064952,23.105626899723628,96.04691966160973,,-19.945434372939168,-20.748705353927434,-20.659553305676848,0.7642074043194924,0.03906357666877369,
21,2014bl,0.0377,,,,,,,,,,,,
22,2015bn,0.1136,-22.048883694815657,0.24602424815285126,0.018312732523451846,45.329967721618914,143.43213667138738,-22.027511705568106,-22.133719395308475,-21.85213015120325,-21.697334635778088,-0.08483570049281752,-0.19675354361240593,
23,2016aj,0.485,-22.466592750351065,0.1844933351804816,0.020730710762257066,32.97818366311054,101.47133434804488,,,-22.56229308504696,,,0.0957003346958949,
24,2016ard,0.2025,-21.83322174378894,0.22783584427693565,0.026016485734912394,32.5805257312085,132.8282972118561,,-21.92388476257366,-21.733029977776557,-21.66510598645881,-0.0906630187847206,-0.100191766012383,
25,2016eay,0.1013,-21.80320946482695,0.24877199922184254,0.01923400091959727,36.94264188399766,145.03407554459002,,-22.01753449683169,-21.612442171605807,,-0.21432503200474073,-0.1907672932211426,
26,2016els,0.217,-21.740011194285277,0.2251212840945071,0.04161155744318685,22.287007125087168,77.38544140655564,,,,,,,
27,2016inl,0.3057,-21.73558890098883,0.20982814026423768,0.00647970013547654,61.16490288628694,122.32980577257945,,-21.30220630590744,-21.592023330807656,-20.832051792341403,0.4333825950813903,-0.143565570181174,
28,2016wi,0.224,-20.830697196100758,0.22383382577043723,0.008462104004897442,43.703554481153276,130.49512042259556,,-20.72554615443717,-20.66213333377034,,0.10515104166358924,-0.1685638623304193,
29,2017dwh,0.13,-20.881067248652496,2.2426960843734225,0.038801561790272825,22.66941447448026,141.35046672323628,,-20.427614561055243,-21.026249263844058,-20.60241468268613,0.45345268759725244,0.14518201519156193,
30,2017egm,0.03072,,,,,,,,-19.1220368316079,,,,
31,2017ens,0.1086,-21.053035623599325,0.24713386500362183,0.034656875903823936,24.466252635063217,144.07904329537882,,-21.214084713274612,-20.93898666825087,-20.88715650213232,-0.16104908967528786,-0.11404895534845494,
32,2017gci,0.087,-21.16982412530889,0.25204471273506457,0.005966440977467171,40.20113168075751,146.94206752277552,,-21.413159828316843,-21.062763407358077,-20.945390478735103,-0.24333570300795415,-0.10706071795081229,
33,2017hbx,0.1652,,,,,,,,,,,,
34,2017jan,0.396,,,,,,,,,,,,
35,2018avk,0.132,-20.865104968448684,0.2420252674408261,0.00018946457580616943,61.23239266178984,141.10073091630474,,-20.607812333985166,-20.836465020852096,-20.419547162659565,0.2572926344635178,-0.028639947596587945,
36,2018beh,0.06,-19.777042881721417,0.25846471956888223,0.013449659491950814,33.40656500387132,150.6849315068462,,-19.98628884210137,-19.724855045193415,,-0.20924596037995258,-0.05218783652800241,
37,2018bgv,0.0795,-20.560631816180845,0.2537958339444328,0.04912896719298389,15.354647953452831,147.96297118782493,,-20.704066470436825,-20.362403015455396,,-0.14343465425598012,-0.1982288007254489,
38,2018bsz,0.0267,-20.33533336363329,0.2668477673546461,0.040596560858042904,20.547278086059713,155.5722483658878,-20.90381657281563,-20.515156347860888,-20.465142128129088,-20.520656568403886,-0.17982298422759868,0.1298087644957988,
