z_lo,z_hi,N_detects,N_sigma_detects,N_success_ELAsTiCC,N_sigma_ELAsTiCC,N_oracle_detects,N_sigma_oracle_detects,oracle_recall
0.1,0.2,348.0,7.123231937634514,362.0,7.308359201970629,247.6842105263158,5.000456296085168,0.6842105263157895
0.2,0.3,1040.0,12.234696276250343,1110.0,12.7930841964014,829.156626506024,9.55627976116731,0.7469879518072289
0.3,0.4,2020.0,16.879889784598085,2203.0,17.990235639446038,1729.3174061433447,14.122027976356957,0.7849829351535836
0.4,0.5,3409.0,21.389405292335155,3816.0,23.48728930205701,3258.6067415730336,20.05656165119475,0.8539325842696629
0.5,0.6,4997.0,25.289214054146704,5817.0,28.896519804568907,4962.880989180835,24.653599585969147,0.8531684698608965
0.6,0.7,6726.0,27.8856781166079,8102.0,33.43222212858739,6947.169472502806,28.66691100588189,0.8574635241301908
0.7,0.8,8395.0,29.536371049509427,10419.0,37.01781355864937,9261.333333333332,32.90472316324388,0.8888888888888888
0.8,0.9,10160.0,30.924463753442065,13076.0,40.718422440929814,11660.665589660744,36.3110972332686,0.8917609046849758
0.9,1.0,11297.0,29.998268699212574,15228.0,42.31954843996372,13393.301204819276,37.22080766406447,0.8795180722891566
1.0,1.1,12188.0,28.57376705873235,17104.0,42.93765875200452,15011.833543505674,37.68551133845542,0.8776796973518285
1.1,1.2,12595.0,26.13003884672706,18364.0,41.85902575212668,16362.865743527995,37.29762679900511,0.8910295003010235
1.2,1.3,12544.0,23.283212159608038,19079.0,39.95927618350305,16917.87757437071,35.43299661580648,0.8867276887871853
1.3,1.4,12218.0,20.301907023541858,19423.0,37.44724648325046,16963.700619020823,32.70575494766726,0.8733821046707935
1.4,1.5,11464.0,17.311450246275335,19054.0,34.32518301933404,17012.5,30.647484838691106,0.8928571428571429
1.5,1.6,10629.0,14.56085522642729,18635.0,31.408710313753023,15977.744798041616,26.929989687618107,0.857405140758874
1.6,1.7,9410.0,11.578976792014695,17267.0,26.963120543764596,14918.95381654907,23.296551233130796,0.8640153944836434
1.7,1.8,8003.0,8.955892809514848,15729.0,23.223204359775146,13406.379807692307,19.793953715989666,0.8523351648351648
1.8,1.9,6576.0,6.578309521032024,14051.0,19.434197407503966,11945.466114457831,16.521994633337332,0.8501506024096386
1.9,2.0,5253.0,4.701427513438583,12141.0,15.720521763960877,10333.22114537445,13.379756849327055,0.8511013215859031
2.0,2.1,4114.0,3.2938060362882093,10407.0,12.675102883121871,8726.85754985755,10.628789977014826,0.8385565052231719
2.1,2.2,3085.0,2.1891635380859973,8557.0,9.72972837606451,7414.818380743983,8.43101189698369,0.8665207877461707
2.2,2.3,2380.0,1.514182353754518,7079.0,7.513451309814499,5944.544871794872,6.309372574267305,0.8397435897435898
2.3,2.4,1697.0,0.9428141584769031,5424.0,5.245328595037493,4623.196347031963,4.470904129712323,0.852359208523592
2.4,2.5,1259.0,0.6320084915317993,4183.0,3.7452735605440814,3668.0607082630695,3.284219648369178,0.8768971332209107
2.5,2.6,1012.0,0.4726667862210448,3313.0,2.750932591798914,2852.4792531120333,2.3685415468808078,0.8609958506224067
2.6,2.7,710.0,0.293615731275841,2530.0,1.94645446107068,2171.365979381443,1.670539524578702,0.8582474226804123
2.7,2.8,522.0,0.1938142972631502,1981.0,1.4155591330379695,1781.0825688073396,1.272704541630468,0.8990825688073395
2.8,2.9,414.0,0.145388018246697,1569.0,1.0617984267860838,1303.4769230769232,0.8821094622530543,0.8307692307692308
2.9,3.0,301.0,0.09523375578570491,1161.0,0.7156952611712775,1016.52,0.6266309620032963,0.8755555555555555
3.0,3.1,229.0,0.0670732527672115,953.0,0.5653929448451813,812.7106598984772,0.4821625113400531,0.8527918781725888
3.1,3.2,164.0,0.043246349716762,690.0,0.371176479159213,618.6206896551724,0.33277891234963924,0.896551724137931
3.2,3.3,138.0,0.035618995132564196,516.0,0.2564591914679028,447.7058823529412,0.22251606318538628,0.8676470588235294
3.3,3.4,82.0,0.017400303476250198,425.0,0.2044852283235625,367.78846153846155,0.17695837066462142,0.8653846153846154
3.4,3.5,42.0,0.0067521085131024,311.0,0.13559694616966822,267.6046511627907,0.11667644205297031,0.8604651162790697
3.5,3.6,37.0,0.0059921492993976,265.0,0.1145050674656235,225.06849315068493,0.09725087921737886,0.8493150684931506
3.6,3.7,27.0,0.0039536172499752,211.0,0.0861474609029181,171.92592592592592,0.07019422740237771,0.8148148148148148
3.7,3.8,7.0,0.0005554716755765819,172.0,0.0674885201346124,143.33333333333334,0.056240433445510336,0.8333333333333334
3.8,3.9,7.0,0.0005948277312489023,131.0,0.0480600548779261,115.58823529411764,0.04240593077464067,0.8823529411764706
3.9,4.0,,,,,,,
4.0,4.1,,,,,,,
4.1,4.2,,,,,,,
4.2,4.3,,,,,,,
4.3,4.4,,,,,,,
4.4,4.5,,,,,,,
4.5,4.6,,,,,,,
4.6,4.7,,,,,,,
4.7,4.8,,,,,,,
4.8,4.9,,,,,,,
