object_id,mjd,mag,mag_err,UL,filter,System,detected
2005ap,53520.4,19.288,,True,R,Vega,0
2005ap,53521.5,19.238,,True,R,Vega,0
2005ap,53522.5,19.008,,True,R,Vega,0
2005ap,53525.5,19.298,,True,R,Vega,0
2005ap,53526.2603,23.0493,0.7716,False,V,Vega,1
2005ap,53526.6,19.378,,True,R,Vega,0
2005ap,53529.6,19.198,,True,R,Vega,0
2006oz,54010.19,21.0673,,True,z,AB,0
2006oz,54010.19,21.5598,,True,u,AB,0
2006oz,54010.19,22.4579,,True,i,AB,0
2006oz,54010.19,22.6509,,True,r,AB,0
2006oz,54010.19,23.9728,,True,g,AB,0
2006oz,54012.18,21.2603,,True,z,AB,0
2006oz,54012.18,21.4988,,True,g,AB,0
2006oz,54012.18,21.6108,,True,u,AB,0
2006oz,54012.18,21.7239,,True,i,AB,0
2006oz,54012.18,22.2519,,True,r,AB,0
2006oz,54020.18,22.5649,,True,r,AB,0
2006oz,54020.18,22.5478,,True,u,AB,0
2006oz,54020.18,24.0488,,True,g,AB,0
2006oz,54020.18,22.6069,,True,i,AB,0
2006oz,54020.18,20.2713,,True,z,AB,0
2006oz,54022.23,20.7543,,True,z,AB,0
2006oz,54022.23,22.0358,,True,u,AB,0
2006oz,54022.23,22.6909,,True,i,AB,0
2006oz,54022.23,22.7899,,True,r,AB,0
2006oz,54022.23,23.5228,,True,g,AB,0
2006oz,54028.17,22.0313,0.856,False,z,AB,1
2006oz,54028.17,22.2059,0.237,False,r,AB,1
2006oz,54028.17,21.1988,0.198,False,u,AB,1
2006oz,54028.17,22.2779,0.388,False,i,AB,1
2006oz,54028.17,22.1288,0.112,False,g,AB,1
2006oz,54030.18,21.6308,0.183,False,u,AB,1
2006oz,54030.18,21.7888,0.067,False,g,AB,1
2006oz,54030.18,21.8179,0.116,False,r,AB,1
2006oz,54030.18,22.1869,0.23,False,i,AB,1
2006oz,54030.18,22.6223,0.689,False,z,AB,1
2006oz,54032.17,21.6788,0.217,False,g,AB,1
2006oz,54035.25,21.5708,0.44,False,u,AB,1
2006oz,54035.25,22.3429,0.434,False,r,AB,1
2006oz,54035.25,21.0913,0.514,False,z,AB,1
2006oz,54035.25,22.4398,0.266,False,g,AB,1
2006oz,54035.25,22.1699,0.425,False,i,AB,1
2006oz,54037.16,21.7769,0.227,False,i,AB,1
2006oz,54037.16,22.0888,0.141,False,g,AB,1
2006oz,54037.16,22.1299,0.32,False,r,AB,1
2006oz,54037.16,22.6688,0.595,False,u,AB,1
2006oz,54037.16,23.0353,0.833,False,z,AB,1
2006oz,54040.17,22.0103,0.904,False,z,AB,1
2006oz,54040.17,22.2179,0.515,False,i,AB,1
2006oz,54040.17,21.4008,0.216,False,g,AB,1
2006oz,54040.17,21.4589,0.232,False,r,AB,1
2006oz,54040.17,22.2978,0.99,False,u,AB,1
2006oz,54047.16,20.7909,0.304,False,i,AB,1
2006oz,54047.16,20.4879,0.174,False,r,AB,1
2006oz,54047.16,21.2453,1.372,False,z,AB,1
2006oz,54047.16,21.3548,0.713,False,u,AB,1
2006oz,54047.16,20.7728,0.219,False,g,AB,1
2006oz,54050.16,20.3828,0.032,False,g,AB,1
2006oz,54050.16,20.4819,0.051,False,r,AB,1
2006oz,54050.16,20.5308,0.114,False,u,AB,1
2006oz,54050.16,20.5849,0.089,False,i,AB,1
2006oz,54050.16,20.6883,0.378,False,z,AB,1
2006oz,54053.16,20.1318,0.025,False,g,AB,1
2006oz,54053.16,20.1448,0.082,False,u,AB,1
2006oz,54053.16,20.3039,0.04,False,r,AB,1
2006oz,54053.16,20.4259,0.065,False,i,AB,1
2006oz,54053.16,20.7823,0.318,False,z,AB,1
2006oz,54056.16,20.0088,0.034,False,g,AB,1
2006oz,54056.16,20.1939,0.059,False,r,AB,1
2006oz,54056.16,20.2158,0.172,False,u,AB,1
2006oz,54056.16,20.5103,0.368,False,z,AB,1
2006oz,54056.16,20.6129,0.145,False,i,AB,1
2006oz,54057.13,19.9378,0.021,False,g,AB,1
2006oz,54057.13,20.5813,0.225,False,z,AB,1
2006oz,54057.13,20.0419,0.033,False,r,AB,1
2006oz,54057.13,20.2889,0.056,False,i,AB,1
2006oz,54057.13,20.1398,0.067,False,u,AB,1
2006oz,54059.16,19.9589,0.035,False,r,AB,1
2006oz,54059.16,19.9048,0.079,False,u,AB,1
2006oz,54059.16,20.4593,0.225,False,z,AB,1
2006oz,54059.16,20.0959,0.05,False,i,AB,1
2006oz,54059.16,19.8598,0.021,False,g,AB,1
2006oz,54061.17,19.8128,0.026,False,g,AB,1
2006oz,54061.17,19.8219,0.034,False,r,AB,1
2006oz,54061.17,19.9228,0.079,False,u,AB,1
2006oz,54061.17,20.0373,0.184,False,z,AB,1
2006oz,54061.17,20.0409,0.052,False,i,AB,1
2006oz,54062.16,20.1258,0.092,False,u,AB,1
2006oz,54062.16,19.7758,0.03,False,g,AB,1
2006oz,54062.16,20.1449,0.062,False,i,AB,1
2006oz,54062.16,20.4063,0.285,False,z,AB,1
2006oz,54062.16,19.9089,0.038,False,r,AB,1
2006oz,54068.15,19.6488,0.079,False,g,AB,1
2006oz,54068.15,19.7019,0.076,False,r,AB,1
2006oz,54068.15,19.8483,0.242,False,z,AB,1
2006oz,54068.15,20.1359,0.161,False,i,AB,1
2006oz,54367.02,24.1009,,True,r,AB,0
2006oz,54367.02,24.3568,,True,g,AB,0
2006oz,54395.57,22.1293,,True,z,AB,0
2006oz,54395.57,23.0358,,True,u,AB,0
2006oz,54395.57,23.5109,,True,i,AB,0
2007bi,54129.43,17.8649,0.06,False,R,Vega,1
2007bi,54129.43,17.9449,0.06,False,R,Vega,1
2007bi,54129.44,17.8549,0.06,False,R,Vega,1
2007bi,54129.45,17.9149,0.06,False,R,Vega,1
2007bi,54159.45,17.5949,0.06,False,R,Vega,1
2007bi,54159.47,17.4749,0.07,False,R,Vega,1
2007bi,54170.37,17.7449,0.06,False,R,Vega,1
2007bi,54170.37,17.7649,0.06,False,R,Vega,1
2007bi,54170.38,17.8249,0.06,False,R,Vega,1
2007bi,54179.46,17.8849,0.06,False,R,Vega,1
2007bi,54179.47,17.9249,0.07,False,R,Vega,1
2007bi,54179.47,17.9749,0.07,False,R,Vega,1
2007bi,54179.48,17.9549,0.07,False,R,Vega,1
2007bi,54196.45,18.1149,0.11,False,R,Vega,1
2007bi,54196.47,18.0849,0.13,False,R,Vega,1
2007bi,54208.31,18.2449,0.05,False,R,Vega,1
2007bi,54208.35,18.2549,0.03,False,R,Vega,1
2007bi,54212.24,18.2849,0.12,False,R,Vega,1
2007bi,54213.1,17.9725,0.07,False,I,Vega,1
2007bi,54213.1,18.2149,0.04,False,R,Vega,1
2007bi,54213.1,18.4286,0.1,False,V,Vega,1
2007bi,54213.1,18.7359,0.06,False,B,Vega,1
2007bi,54213.5,17.9925,0.05,False,I,Vega,1
2007bi,54213.5,18.2849,0.02,False,R,Vega,1
2007bi,54213.5,18.3786,0.03,False,V,Vega,1
2007bi,54213.5,18.7659,0.03,False,B,Vega,1
2007bi,54219.17,18.3249,0.08,False,R,Vega,1
