name,redshift_lo,redshift_med,redshift_up
PS113gt,0.0,0.884,0.0
PS113or,0.0,1.52,0.0
PS114bj,0.0,0.5215,0.0
PS15cjz,0.0,0.22,0.0
PSNJ000123,0.0,0.281,0.0
PTF09atu,0.0,0.5015,0.0
PTF09cnd,0.0,0.2584,0.0
PTF10aagc,0.0,0.206,0.0
PTF10bfz,0.0,0.1701,0.0
PTF10bjp,0.0,0.3584,0.0
PTF10iam,0.0,0.109,0.0
PTF10nmn,0.0,0.1237,0.0
PTF10uhf,0.0,0.2882,0.0
PTF10vqv,0.0,0.4518,0.0
PTF12dam,0.0,0.1073,0.0
PTF12gty,0.0,0.1768,0.0
PTF12hni,0.0,0.1056,0.0
PTF12mxx,0.0,0.3296,0.0
SCP06F6,0.0,1.189,0.0
SDSS17789,0.0,0.3858,0.0
SN1000,0.0,3.8993,0.0
SN2213,0.0,2.0458,0.0
SNLS06D4eu,0.0,1.5881,0.0
SNLS07D2bv,0.0,1.5,0.0
SNLS07D3bs,0.0,0.757,0.0
SSS120810,0.0,0.156,0.0
UID30901,0.0,0.37,0.0
2022acsx,0.0,0.28,0.0
2023cmx,0.0,0.233,0.0
2023wwx,0.0,0.308,0.0
