cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,456959,3580,0.0078344008981112,3.4,3.5,0.0001304236530965345
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,456959,0,0.0,3.4,3.5,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,456959,570,0.0012473766793082,3.4,3.5,5.2214263798801364e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,456959,191,0.0004179806065752,3.4,3.5,3.0237693875714677e-05
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,456959,105,0.0002297799146094,3.4,3.5,2.2421647076843477e-05
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,456959,3801,0.0083180329088605,3.4,3.5,0.00013435626041072792
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,456959,0,0.0,3.4,3.5,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,448318,316,0.0007048568203819,3.5,3.6,3.963731731900143e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,448318,66,0.0001472169308392,3.5,3.6,1.8119817595152476e-05
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,448318,37,8.253070365231823e-05,3.5,3.6,1.3567404203674994e-05
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,448318,2884,0.0064329337657644,3.5,3.6,0.00011940157227679728
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,448318,0,0.0,3.5,3.6,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,448318,373,0.0008319987151976,3.5,3.6,4.3061335841784334e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,448318,99,0.0002208253962589,3.5,3.6,2.2191336769736526e-05
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,448318,48,0.0001070668587921,3.5,3.6,1.5452942620786724e-05
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,448318,3059,0.0068232816884443,3.5,3.6,0.0001229466861733765
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,448318,0,0.0,3.5,3.6,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,438789,170,0.0003874299492466,3.6,3.7,2.970876396505691e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,438789,17,3.874299492466767e-05,3.6,3.7,9.396374462700466e-06
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,438789,12,2.734799641741247e-05,3.6,3.7,7.89457859402723e-06
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,438789,2341,0.0053351383010968,3.6,3.7,0.00010997231392500904
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,438789,0,0.0,3.6,3.7,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,438789,201,0.0004580789399916,3.6,3.7,3.230299600009301e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,438789,42,9.571798746094364e-05,3.6,3.7,1.4768899241450986e-05
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,438789,23,5.24169931333739e-05,3.6,3.7,1.0929412155116856e-05
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,438789,2522,0.0057476372470595,3.6,3.7,0.00011412088351370152
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,438789,0,0.0,3.6,3.7,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,427782,91,0.0002127251731021,3.7,3.8,2.2297285359817454e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,427782,8,1.870111411887363e-05,3.7,3.8,6.611780479901729e-06
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,427782,6,1.4025835589155225e-05,3.7,3.8,5.725983245327617e-06
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,427782,1867,0.0043643725074921,3.7,3.8,0.00010078592053354097
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,427782,0,0.0,3.7,3.8,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,427782,132,0.0003085683829614,3.7,3.8,2.6853286407344573e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,427782,22,5.1428063826902486e-05,3.7,3.8,1.096421810354848e-05
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,427782,10,2.337639264859204e-05,3.7,3.8,7.3921780220538665e-06
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,427782,1983,0.0046355386622158,3.7,3.8,0.00010385559920788824
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,427782,0,0.0,3.7,3.8,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,414747,22,5.304438609561974e-05,3.8,3.9,1.1308801168089093e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,414747,2,4.822216917783613e-06,3.8,3.9,3.4098140614560235e-06
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,414747,2,4.822216917783613e-06,3.8,3.9,3.4098140614560235e-06
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,414747,1422,0.0034285962285441,3.8,3.9,9.076548976772081e-05
