cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,51551,229,0.0044422028670636,3.0,3.1,0.0002928963002935996
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,51551,141,0.0027351554771003,3.0,3.1,0.00023002641814555937
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,51551,97,0.0018816317821186,3.0,3.1,0.00019087093319197359
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,51551,953,0.0184865473026711,3.0,3.1,0.0005932769620621921
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,51551,0,0.0,3.0,3.1,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,48482,142,0.0029289220741718,3.1,3.2,0.0002454294670918897
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,48482,63,0.0012994513427663,3.1,3.2,0.00016360907592784043
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,48482,36,0.0007425436244379,3.1,3.2,0.00012371131462078015
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,48482,647,0.0133451590280929,3.1,3.2,0.0005211397960136481
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,48482,0,0.0,3.1,3.2,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,48482,164,0.0033826987335505,3.1,3.2,0.0002636972543705259
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,48482,92,0.0018976114846747,3.1,3.2,0.000197651872863833
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,48482,67,0.0013819561899261,3.1,3.2,0.0001687161197352559
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,48482,690,0.0142320861350604,3.1,3.2,0.0005379369263177503
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,48482,0,0.0,3.1,3.2,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,45444,122,0.0026846228324971,3.2,3.3,0.00024272785711760284
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,45444,54,0.0011882756799577,3.2,3.3,0.00016160773538728413
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,45444,33,0.0007261684710852,3.2,3.3,0.00012636379956891476
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,45444,512,0.0112666138544142,3.2,3.3,0.0004951058169455978
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,45444,0,0.0,3.2,3.3,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,45444,138,0.0030367045154475,3.2,3.3,0.0002581086603809037
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,45444,73,0.0016063726784614,3.2,3.3,0.00018786063198898364
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,45444,40,0.0008802042073761,3.2,3.3,0.00013911124147224083
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,45444,516,0.0113546342751518,3.2,3.3,0.000497013936953345
